Name,Gender,Grade,Math,Science,English,Total
Reyansh',m,1,44 marks,20,35 marks,99
ISHA,female,Grade 2,57 marks,56,54,167
Ishaan,1,2,63 marks,25,61,149
"""Vihaan""",f,Grade 12,95,76 marks,96,267
ARYAN,Male,Grade 11,6,37 marks,72 marks,115
Advika',m,8,27,5,29 marks,61
Ishaan',F,1,88 marks,62,27,177
Advika,m,6,7 marks,10,13,30
MYRA,M,12,63 marks,48 marks,94 marks,205
NAVYA,M,Grade 1,47 marks,68 marks,57,172
"""Aryan""",M,6,37 marks,39,51 marks,127
REYANSH,F,Grade 3,90,73 marks,95,258
"""Shaurya""",M,12,40 marks,73,47,160
Myra,0,8,43,73,21,137
Saanvi,Male,12,93,60 marks,55 marks,208
ROHAN,0,8,75,72 marks,93,240
Saanvi,Male,Grade 9,48 marks,31,10 marks,89
"""Diya""",male,11,100,35 marks,40 marks,175
"""Navya""",M,11,3 marks,28,49,80
Advika',female,1,48 marks,31,60 marks,139
Anika,0,10,78,59 marks,85,222
KRISHNA,1,3,46,13 marks,8,67
"""Reyansh""",Male,4,53,68,59 marks,180
Advika,m,10,66,53 marks,19,138
Ishaan,M,Grade 8,73,66,72,211
ZARA,M,5,27 marks,52,74 marks,153
Aryan,M,10,77,21 marks,86,184
"""Isha""",m,2,92,100 marks,24,216
Shaurya,male,5,67 marks,44 marks,86,197
Shaurya',male,6,48,2 marks,78 marks,128
Reyansh',f,3,32,10,65,107
"""Isha""",F,Grade 1,30,34,42 marks,106
SHAURYA,0,Grade 9,88,16 marks,69,173
NAVYA,m,7,51 marks,78,89,218
ADVIKA,1,Grade 5,87,75 marks,27,189
Zara,Female,6,87,55,4 marks,146
Rohan,F,3,42,59 marks,3 marks,104
Advika,F,Grade 9,35,11 marks,8 marks,54
Vihaan,m,Grade 2,4,9,17,30
"""Isha""",0,Grade 4,60 marks,48,4,112
SAANVI,1,Grade 2,54,30 marks,96 marks,180
ISHA,F,Grade 6,81,27,53,161
Ishaan',Female,5,14,24,84,122
Navya',f,1,88,82,28,198
Shaurya,F,6,78,71,13,162
Ananya,f,2,26,15,20,61
Aryan,F,5,1 marks,47,74,122
"""Isha""",F,4,39,37 marks,32 marks,108
Zara',F,Grade 6,55 marks,100,82,237
Navya,m,1,52,85,89 marks,226
NAVYA,M,11,24,82,85 marks,191
Isha,f,7,27 marks,61,31,119
ARJUN,M,4,92,17 marks,11,120
"""Isha""",F,11,45 marks,46 marks,32,123
Ishaan',0,9,18 marks,52,77,147
SAANVI,F,Grade 9,54,18 marks,92 marks,164
"""Navya""",0,7,58,74 marks,21,153
VIHAAN,F,3,90,33 marks,53,176
Aditi',female,3,45,32 marks,30,107
Vihaan',Male,2,6,48 marks,9 marks,63
Anika,1,3,69 marks,97,98,264
Ananya',F,1,15,39,84 marks,138
Vihaan,M,7,41,19,11,71
Kabir,Female,9,88 marks,4 marks,36 marks,128
"""Arjun""",F,Grade 3,14 marks,56,60,130
"""Reyansh""",female,12,13,88,21,122
Myra',F,Grade 10,79,43,9 marks,131
Aditi,f,2,74 marks,52,54,180
Kabir',Male,3,41 marks,58,6 marks,105
ADITI,1,12,33,8 marks,1,42
Reyansh,m,8,29,48,68 marks,145
Navya',M,9,94 marks,59 marks,50,203
"""Aryan""",Male,3,19,49,66 marks,134
ISHAAN,F,12,22 marks,73,71 marks,166
Advika',1,12,14,85 marks,54,153
"""Aarav""",f,Grade 3,0,77,77,154
Zara,male,2,40,48,41,129
Reyansh',female,Grade 12,8,36,48,92
Rohan,male,Grade 2,3 marks,50 marks,45,98
Aryan,female,9,87,20 marks,56,163
ISHA,f,2,76,52,24,152
Vihaan',Male,5,27,52,12 marks,91
ARYAN,f,Grade 4,25,96 marks,82 marks,203
Reyansh,female,2,12,65,41 marks,118
"""Rohan""",F,9,45 marks,38,50,133
KABIR,female,9,34,25 marks,4,63
"""Rohan""",m,2,63,24,87,174
Isha,Male,Grade 4,33 marks,72,65,170
Shaurya',F,11,97 marks,51,24,172
"""Advika""",female,Grade 9,52,41 marks,58,151
Reyansh,f,Grade 7,22,26,72,120
Krishna,Female,Grade 10,33,19 marks,5,57
"""Navya""",1,Grade 2,7 marks,87 marks,68,162
"""Shaurya""",Female,6,84,57,27,168
ANIKA,Female,4,74,42,51,167
Reyansh,F,Grade 3,94,7,4 marks,105
Kabir',F,8,44 marks,28 marks,9,81
Aryan,female,1,44 marks,40 marks,31,115
Navya',1,6,97,53 marks,4,154
"""Myra""",female,8,20 marks,37,46 marks,103
ADVIKA,Male,4,21 marks,61,100,182
Reyansh',Male,8,29,75,24 marks,128
Arjun',female,7,43,68,46,157
Vihaan,F,Grade 7,8 marks,79,99,186
"""Myra""",M,Grade 6,23 marks,9,90,122
Aditi',F,3,24,92,93 marks,209
Rohan,F,Grade 7,66 marks,9,47,122
Shaurya,1,Grade 12,18 marks,29,17 marks,64
KABIR,F,Grade 9,81,19,31,131
Navya',f,1,77 marks,5,88,170
VIHAAN,M,5,6 marks,84 marks,87 marks,177
Isha',F,8,51 marks,30 marks,30 marks,111
Krishna',Male,Grade 11,20 marks,36,15,71
Krishna,M,Grade 4,27,9,55,91
Aditi,Male,11,44,18,61 marks,123
Rohan,Male,Grade 2,90 marks,41 marks,54,185
Shaurya',0,1,83 marks,91,88 marks,262
"""Ananya""",M,3,90,32,49,171
Rohan,1,2,30,75,37,142
Isha',female,6,15 marks,89,37,141
"""Vihaan""",F,Grade 5,50,98 marks,99 marks,247
"""Navya""",f,11,1 marks,57 marks,18,76
Krishna',m,7,45,64 marks,2 marks,111
Zara,f,4,21,39 marks,21 marks,81
Aditi',Male,Grade 7,86,62,93,241
Anika',m,Grade 7,23,75 marks,70,168
Aarav',F,12,70,47,21 marks,138
Vihaan,F,7,56 marks,2,46 marks,104
DIYA,M,12,5,10 marks,62,77
Navya',m,9,59,51,2 marks,112
Zara',female,Grade 6,29 marks,17,24 marks,70
Vihaan,0,4,98 marks,86 marks,31,215
ARYAN,male,Grade 3,24 marks,72,72,168
"""Krishna""",female,11,10 marks,11,50 marks,71
Aarav,f,4,39 marks,84,54,177
"""Ananya""",F,Grade 9,48 marks,58,31,137
"""Aditi""",f,9,71,92 marks,55,218
Advika',Female,12,61 marks,3 marks,29,93
ISHA,Male,4,56,29,10,95
Reyansh',m,6,66 marks,58,55 marks,179
SHAURYA,Female,7,65 marks,29 marks,20,114
"""Diya""",male,5,46,43,15,104
Kabir',F,1,16 marks,84,9 marks,109
Aditi',Male,6,74,0,48 marks,122
"""Aryan""",M,Grade 3,69,41 marks,88 marks,198
ARYAN,male,4,43,91 marks,19 marks,153
Aarav',female,Grade 12,66,53,19 marks,138
"""Isha""",F,Grade 4,9,41,100 marks,150
Shaurya,Female,Grade 4,100,93,81,274
ISHA,Female,4,11,84,83,178
Navya',M,7,40 marks,68 marks,82,190
"""Shaurya""",M,5,64,95 marks,89,248
"""Advika""",F,5,71,41,40,152
Kabir,1,Grade 4,96,14,49 marks,159
Krishna',female,11,54,39,29,122
Aarav',Female,2,70 marks,47,15,132
Advika,1,Grade 7,60 marks,54,0 marks,114
ADVIKA,Female,9,23,64,92,179
Myra',F,11,17,50,81,148
Krishna',Female,1,95,95 marks,52 marks,242
Myra',1,8,35,91,58,184
NAVYA,m,6,94,96,94,284
Ishaan,Female,6,32,28 marks,43 marks,103
"""Rohan""",M,Grade 1,9 marks,21,91 marks,121
Aarav',1,9,35,8,59,102
KABIR,F,7,19 marks,58,8 marks,85
MYRA,0,4,28,57 marks,88,173
"""Anika""",M,9,3,8,36 marks,47
VIHAAN,F,10,99 marks,99,84,282
Aditi,F,10,89 marks,79,0,168
ZARA,M,3,71,36 marks,48 marks,155
ADVIKA,Male,2,82,24,71,177
"""Rohan""",M,3,27 marks,67 marks,16 marks,110
Myra',M,Grade 2,100,82,1,183
ZARA,1,3,98,53,21,172
ADVIKA,M,5,86 marks,48,86,220
KRISHNA,male,11,59,65,44 marks,168
Ishaan,0,8,26 marks,89,10 marks,125
"""Krishna""",m,4,36,84 marks,34,154
ANANYA,f,10,89 marks,27 marks,55,171
Advika',male,Grade 11,74 marks,66 marks,66,206
Vihaan,M,9,63,22,81,166
Advika',female,Grade 3,57,9 marks,37,103
"""Shaurya""",1,Grade 10,89,2,74,165
ARYAN,Male,Grade 2,45,87,6,138
"""Ananya""",m,Grade 1,9 marks,2,48,59
"""Ishaan""",female,11,20,95,77,192
"""Advika""",F,Grade 2,56 marks,11,90 marks,157
Krishna',Male,Grade 2,57 marks,76,25,158
"""Anika""",f,Grade 5,63,37 marks,74,174
"""Rohan""",F,5,93,80 marks,63,236
Ishaan',f,9,70,2,50,122
Navya',1,8,31,48,22,101
"""Reyansh""",female,5,66,63 marks,51 marks,180
Krishna',F,1,55 marks,63,1,119
"""Shaurya""",F,10,95,60,24,179
Vihaan,F,Grade 9,29,96,15,140
Zara',Female,6,28,76,95,199
Kabir,f,Grade 6,30,33,66,129
Aditi',f,11,88 marks,61,66,215
NAVYA,F,Grade 12,36 marks,2 marks,27,65
Saanvi',F,Grade 4,5 marks,89 marks,99 marks,193
Rohan,female,2,88,42,66 marks,196
Navya',0,3,84,3,0 marks,87
"""Krishna""",female,10,24,53 marks,95 marks,172
ADITI,f,10,74 marks,78 marks,25,177
"""Saanvi""",f,1,70 marks,72,73 marks,215
Aryan,m,4,81,40,82,203
ADITI,f,10,57,85 marks,85,227
KABIR,f,1,36,32,97 marks,165
ISHAAN,female,9,33 marks,54 marks,33 marks,120
"""Krishna""",F,Grade 11,69,21 marks,80,170
"""Aryan""",M,Grade 6,43,50,10,103
"""Isha""",M,Grade 6,45,31 marks,63 marks,139
ARJUN,M,9,58 marks,89,6 marks,153
Arjun,Female,6,60,5,53,118
"""Ananya""",Female,7,60,32 marks,40 marks,132
VIHAAN,Male,Grade 2,13,35,82,130
Aditi,female,8,53,90,27,170
ANIKA,male,1,62,22,50,134
"""Navya""",M,2,14,70,41,125
"""Saanvi""",1,4,21,69,99,189
Anika,F,Grade 6,38,96,19,153
MYRA,M,5,2,83,72 marks,157
Arjun,0,3,44,65,95,204
Vihaan',male,Grade 1,18 marks,3,66 marks,87
"""Saanvi""",F,Grade 4,10,8,64 marks,82
Shaurya,Female,Grade 9,53,6 marks,25 marks,84
Reyansh,Female,Grade 7,43 marks,85 marks,81 marks,209
"""Isha""",F,3,96,72,75,243
Aarav,male,4,74,71,10 marks,155
Shaurya,F,3,38 marks,20 marks,80 marks,138
Reyansh',f,3,65,85,72,222
KRISHNA,m,3,49,97,4 marks,150
"""Aditi""",Female,3,18,17,4 marks,39
Reyansh',f,11,16,53 marks,8,77
"""Ishaan""",M,9,71 marks,10,83 marks,164
Isha,m,Grade 10,81,10,12,103
Shaurya,F,Grade 11,5,43,100 marks,148
Arjun,M,Grade 7,93,69,24 marks,186
"""Aditi""",f,2,55 marks,97,67,219
ISHAAN,M,5,73,92,49,214
Krishna,0,Grade 12,36,52,79 marks,167
NAVYA,F,9,61 marks,35,96,192
Aditi,m,2,74,72 marks,68,214
Aryan,F,Grade 2,94,10,36,140
Rohan',Female,Grade 3,88,37,76,201
"""Aryan""",m,Grade 3,81,68 marks,20,169
Rohan',Male,4,7,59,21,87
Ananya,male,Grade 10,55,67,59 marks,181
"""Diya""",Male,Grade 9,12,41,0,53
Ishaan,0,2,32 marks,51,45,128
"""Vihaan""",F,8,35 marks,46 marks,6 marks,87
"""Ishaan""",Male,8,81,44,73,198
Myra,male,10,96,52,93,241
Zara,m,5,62 marks,25,66,153
ANIKA,F,9,93 marks,84 marks,30 marks,207
"""Aarav""",male,Grade 1,65,25,42 marks,132
ADITI,F,1,44 marks,23 marks,51,118
ADVIKA,1,8,35 marks,39,98,172
REYANSH,m,Grade 1,1,100 marks,24 marks,125
MYRA,M,12,91,24 marks,25,140
"""Arjun""",f,4,56,26 marks,76,158
Arjun',M,Grade 3,50 marks,84,93,227
ROHAN,F,12,75,58,89 marks,222
Rohan',m,3,10 marks,25,35,70
Rohan,1,Grade 7,60 marks,94 marks,17,171
"""Ananya""",M,11,99 marks,75,6,180
DIYA,f,Grade 11,89 marks,44 marks,25 marks,158
"""Ananya""",M,Grade 12,65 marks,60 marks,32,157
Advika,male,2,87 marks,30 marks,86,203
Aryan',m,6,76,17,63 marks,156
Anika,female,6,64,75,94,233
SHAURYA,M,Grade 11,32,55 marks,7,94
"""Ananya""",male,Grade 4,54,89,11 marks,154
Aarav',female,Grade 10,7,13 marks,13,33
"""Krishna""",male,Grade 9,83 marks,79 marks,42 marks,204
Ananya',1,3,87 marks,23,44,154
"""Krishna""",female,6,3 marks,19,39,61
Kabir',0,Grade 6,12,30,83,125
Navya',1,4,78 marks,73 marks,21,172
Ishaan,M,9,82 marks,90,9 marks,181
"""Ananya""",Female,Grade 8,42,26 marks,76,144
"""Navya""",M,8,60,45,14 marks,119
KABIR,M,Grade 5,9,16,11,36
Zara',Male,Grade 6,45 marks,81,88 marks,214
KABIR,female,4,12,9,14 marks,35
"""Aarav""",M,11,7,41 marks,45,93
Reyansh',0,Grade 11,51 marks,16 marks,73,140
"""Navya""",F,Grade 5,59,3,93,155
Anika,f,3,72,1 marks,56,129
"""Rohan""",F,Grade 12,99,82 marks,60,241
ARYAN,F,4,6 marks,25,24 marks,55
Reyansh,m,12,14,77 marks,58 marks,149
Aditi',male,Grade 5,69 marks,3 marks,57 marks,129
"""Saanvi""",F,Grade 5,93,47,42,182
"""Reyansh""",f,Grade 8,37,6,9 marks,52
Kabir,F,3,27 marks,78,90 marks,195
Aarav',1,2,84,64,65 marks,213
ZARA,m,Grade 2,84,44 marks,70,198
"""Rohan""",female,7,56,99,60,215
Arjun',1,8,66,63,56 marks,185
Saanvi',M,Grade 10,89,58,26 marks,173
AARAV,Male,9,42 marks,28,76,146
Shaurya',1,5,64,95,26,185
Vihaan,F,Grade 10,33,13 marks,63,109
"""Reyansh""",M,8,56,11,0,67
Ishaan',1,11,48,76 marks,67 marks,191
"""Rohan""",0,Grade 1,92 marks,62,34,188
Aryan',M,12,46,84 marks,80,210
ARJUN,male,10,17,41 marks,25,83
Diya',M,Grade 7,79,87,23,189
Reyansh,F,Grade 8,44 marks,45,60,149
NAVYA,Male,Grade 6,44,11,34,89
"""Ananya""",female,8,2,46 marks,71,119
"""Saanvi""",m,6,21,12,40,73
Myra,Male,5,48 marks,60,0,108
Aarav,male,10,46,44,59 marks,149
"""Isha""",Male,7,9,58 marks,71 marks,138
VIHAAN,M,8,52,98 marks,37,187
"""Advika""",m,7,18,91,28 marks,137
"""Isha""",m,Grade 9,0 marks,33,5,38
REYANSH,M,10,14,77,54,145
Ananya,M,6,37,12,50 marks,99
Krishna',male,6,45,99 marks,24,168
VIHAAN,M,Grade 3,76,29 marks,60 marks,165
Reyansh,Female,2,14 marks,27,49 marks,90
"""Diya""",Female,Grade 7,1,53,80,134
Ananya',M,Grade 5,76,86,56,218
"""Arjun""",m,9,9,43 marks,1,53
ROHAN,Male,Grade 3,18 marks,33 marks,59,110
"""Arjun""",Female,12,59,80,36,175
"""Advika""",0,Grade 9,18,56 marks,50,124
Kabir',Male,12,81,75 marks,10,166
Reyansh',m,4,85 marks,39,16 marks,140
Aarav',1,4,11,6,41,58
Shaurya',F,2,81,23,3,107
AARAV,M,3,18,15,33 marks,66
Aarav',male,12,63,47,98,208
Krishna',female,Grade 3,76,87,46,209
Diya,0,4,98 marks,71,40,209
ISHAAN,F,4,69 marks,0 marks,3 marks,72
Aditi,0,7,30,57 marks,92,179
"""Navya""",f,Grade 1,92,86,62,240
ANANYA,0,8,78,93,39,210
AARAV,male,3,77 marks,84,41,202
"""Aryan""",1,5,42 marks,3 marks,50,95
"""Kabir""",m,6,87,90 marks,84,261
REYANSH,M,Grade 5,97,5,41,143
Reyansh',Female,3,30 marks,89,38,157
Diya,1,Grade 5,32,20,67 marks,119
Isha,0,10,40 marks,49 marks,77,166
"""Aarav""",Female,Grade 8,78,71 marks,61 marks,210
"""Aditi""",M,Grade 1,83,95,53 marks,231
Zara',1,Grade 2,47,17,27 marks,91
ISHAAN,Male,12,84 marks,71,24 marks,179
"""Ananya""",f,5,99,2,81,182
Aryan',Male,10,62 marks,76,25,163
"""Myra""",Male,1,67,35,71,173
ISHAAN,Male,Grade 4,10 marks,23,79,112
"""Ishaan""",M,Grade 10,68 marks,88 marks,32,188
Aditi',male,Grade 9,79,27,97,203
Ananya,M,Grade 7,88 marks,15 marks,88,191
"""Arjun""",F,5,89 marks,27,97 marks,213
"""Krishna""",m,11,8 marks,92 marks,38,138
"""Aarav""",M,Grade 11,56,26 marks,30 marks,112
"""Ananya""",0,Grade 7,6 marks,35 marks,64,105
Aryan,0,2,85 marks,29,96,210
AARAV,F,8,84,100,41,225
Shaurya',female,6,82 marks,29,32 marks,143
SAANVI,m,12,57,31 marks,40,128
Reyansh',female,1,14,5,3 marks,22
"""Krishna""",f,Grade 2,94,26 marks,92,212
Shaurya,F,Grade 11,82,16,33 marks,131
Kabir,M,8,89 marks,8 marks,82,179
ADITI,1,3,1,26 marks,17,44
Kabir,M,Grade 5,21,52,84,157
Aditi,m,2,52,59 marks,9 marks,120
Myra,F,9,32 marks,94 marks,91,217
Ananya,Male,Grade 6,3,92,44,139
"""Vihaan""",male,9,44,40 marks,76 marks,160
Aryan,Female,Grade 2,85,44 marks,80,209
"""Kabir""",F,8,70 marks,20 marks,58 marks,148
Reyansh,Male,3,86,41,0,127
Reyansh',M,5,18,70,20,108
Saanvi',F,12,62 marks,16,42,120
ROHAN,f,6,17,6 marks,73,96
Arjun,1,Grade 6,16,62,70,148
"""Shaurya""",0,Grade 8,20 marks,21 marks,2,43
"""Reyansh""",f,Grade 12,70 marks,92,59,221
KABIR,female,2,46,57,67,170
ANANYA,male,10,39,96,58,193
Shaurya',M,Grade 10,63,31 marks,35,129
Diya',F,Grade 1,22 marks,79,91 marks,192
"""Zara""",F,6,53,8 marks,72 marks,133
DIYA,m,9,17 marks,16,46 marks,79
"""Aarav""",Female,6,50,72,39 marks,161
ADVIKA,female,Grade 6,41 marks,11,85,137
Aarav',female,8,27 marks,25,59,111
"""Aarav""",Male,Grade 9,36,52,86,174
Isha,Male,Grade 12,96 marks,22,15 marks,133
AARAV,male,8,56 marks,31 marks,11,98
ADITI,M,6,38 marks,93,45,176
Reyansh,f,8,8,38,66 marks,112
KRISHNA,Female,9,18,93 marks,21 marks,132
Aarav,male,7,8,9 marks,60 marks,77
ADVIKA,Female,3,72,38,10,120
Saanvi,f,9,88,72 marks,47 marks,207
Navya',m,Grade 7,28 marks,76 marks,93,197
Aditi',M,10,93,77,74,244
Myra,M,2,50,1,82,133
Shaurya',Female,Grade 8,25,98,17 marks,140
Saanvi',M,Grade 2,95,18,15,128
"""Zara""",M,11,100,38,44,182
Vihaan,female,11,4,4 marks,33 marks,41
Rohan,1,8,50,50 marks,29,129
Ishaan',F,11,51,80 marks,9 marks,140
NAVYA,Female,Grade 11,36 marks,38,40,114
Kabir,female,Grade 11,82 marks,34 marks,21 marks,137
ISHAAN,female,Grade 7,28,50 marks,53,131
DIYA,M,Grade 11,97 marks,97,51,245
Navya,m,Grade 10,25,66,83 marks,174
"""Anika""",Female,Grade 4,67,8,59,134
Aarav,1,10,4,55,34,93
VIHAAN,F,1,41 marks,30 marks,84,155
"""Arjun""",m,5,24,56,9,89
Ananya,1,Grade 10,10,94,2,106
Shaurya,f,1,94,5,44,143
Anika',Female,5,32 marks,56,41 marks,129
SHAURYA,F,7,23,53 marks,48,124
Saanvi',m,1,65,44,28,137
ARYAN,F,Grade 3,31,86 marks,35,152
REYANSH,Male,1,8,78,30 marks,116
"""Aarav""",Male,8,58,50 marks,38,146
Saanvi,Male,4,6,24,44,74
"""Aarav""",Female,Grade 8,99,50,40 marks,189
"""Zara""",Female,4,61 marks,98 marks,76,235
ADITI,Female,6,32,25 marks,27,84
Advika,female,11,73 marks,39,3,115
Vihaan',M,5,100,67,41,208
"""Kabir""",M,Grade 12,98 marks,21,37,156
"""Advika""",male,9,74,64 marks,72,210
MYRA,0,10,1,50,13,64
DIYA,F,11,93 marks,88,29 marks,210
"""Ishaan""",F,4,94,16 marks,87,197
ANIKA,male,9,88,23 marks,72,183
Advika',F,8,10,32,62,104
"""Ananya""",1,7,73,52,17,142
Myra',F,2,17 marks,92,74,183
ARYAN,m,1,83,95 marks,41,219
"""Advika""",M,3,88,79 marks,30,197
"""Aditi""",f,11,85,40,15,140
ADVIKA,female,11,75 marks,25 marks,69 marks,169
KABIR,Female,10,24,51,100 marks,175
Aryan',m,1,87,61,97,245
"""Saanvi""",female,Grade 1,79,61 marks,17 marks,157
"""Ananya""",F,Grade 2,48 marks,2,75 marks,125
AARAV,M,5,96,8,98 marks,202
Vihaan',m,Grade 3,18,50,3,71
Anika,m,Grade 5,83,70 marks,58 marks,211
Aarav',F,6,31 marks,56 marks,99,186
Aditi,M,12,18 marks,81,57,156
AARAV,m,Grade 2,51 marks,24 marks,34,109
Myra,male,12,70 marks,99,31 marks,200
"""Ananya""",f,3,63 marks,91 marks,55 marks,209
SAANVI,M,5,31,98,59,188
"""Aryan""",F,Grade 7,55 marks,93,64 marks,212
Ishaan,f,10,69,90,92 marks,251
ADITI,f,8,8 marks,22,84,114
ADVIKA,Male,3,39 marks,86,3,128
Zara,Male,Grade 10,27,69,63,159
ISHAAN,0,Grade 2,88,62,60 marks,210
Saanvi,M,2,75,16,74,165
Aarav',female,3,50 marks,31,70,151
"""Krishna""",female,4,91,11,14,116
Ishaan,male,1,80,67,12,159
ARYAN,m,12,79,87,98,264
Krishna',M,Grade 5,26 marks,95,40,161
Ananya',male,7,73,67,73 marks,213
Shaurya,Male,9,97 marks,49,43,189
Aditi,male,9,15,53,100,168
Anika',Male,2,74 marks,69 marks,97 marks,240
"""Myra""",1,10,95,62,4,161
"""Arjun""",male,3,38 marks,14 marks,97,149
ISHAAN,M,11,100,63,4,167
KRISHNA,0,Grade 1,2,31,35 marks,68
ARJUN,M,Grade 8,15,2,100,117
Ananya,F,12,82,90,30 marks,202
"""Diya""",Female,Grade 2,67,2,76,145
KABIR,male,Grade 9,41,53,71,165
"""Reyansh""",F,8,51,23 marks,59,133
Arjun,F,Grade 3,77,10,55,142
Isha',male,4,56,77 marks,11,144
AARAV,F,2,66,97 marks,11,174
Isha',F,Grade 5,60,22,34,116
Aryan',m,Grade 1,48,47,97,192
"""Aarav""",Female,4,31,7,1,39
"""Rohan""",Male,1,10 marks,9 marks,57,76
ADVIKA,1,10,22,79 marks,24 marks,125
REYANSH,1,9,44,73,79,196
Vihaan',female,9,20 marks,60,54,134
"""Shaurya""",Male,3,27,3,13 marks,43
MYRA,F,1,31,73,67 marks,171
Isha,M,Grade 12,23,99,92 marks,214
